YY,MM,DD,hh,WD,WSPD,GST,WVHT,DPD,APD,MWD,BAR,ATMP,WTMP,DEWP,VIS
85,9,25,11,115,13.9,20.2,6.2,11.1,8.8,999,991.9,7.7,999,999,99
85,9,25,12,110,13.1,18.7,5.7,11.1,8.6,999,991.4,7.9,999,999,99
85,9,25,13,112,10.8,15.4,5.6,11.1,8.4,999,991.1,8.3,999,999,99
85,9,25,14,160,5.2,8.6,4.6,11.1,8,999,991.2,8.4,999,999,99
85,9,25,15,178,5.2,7.2,4.6,11.1,8.2,999,991.2,8.2,999,999,99
85,9,25,16,166,5.6,7,4.2,11.1,8.1,999,991,8,999,999,99
85,9,25,17,164,5.2,6.5,4.2,11.1,8.4,999,991.1,8.1,999,999,99
85,9,25,18,161,4.6,5.8,4.5,11.1,8.7,999,991.3,8.1,999,999,99
85,9,25,19,145,6,7.2,3.8,10,8.1,999,991.7,8.4,999,999,99
85,9,25,20,118,4.7,5.9,4.6,11.1,8.6,999,991.8,8.5,999,999,99
85,9,25,21,113,6.2,8,4.1,11.1,8.2,999,991.5,7.7,999,999,99
85,9,25,22,80,3.9,5.5,4.3,11.1,8.1,999,991.6,7.4,999,999,99
85,9,25,23,86,3.1,4.2,3.9,11.1,8.2,999,991.4,8.1,999,999,99
85,9,26,0,123,5.3,8.5,4.1,11.1,8.4,999,991.1,8,999,999,99
85,9,26,1,59,2.2,4,3.7,11.1,8,999,990.6,8.1,999,999,99
85,9,26,2,91,2.8,4.4,3.9,11.1,8.4,999,990.3,8.2,999,999,99
85,9,26,3,90,3.3,4.4,3.6,11.1,8.3,999,990.1,8.6,999,999,99
85,9,26,4,89,4.1,5.5,3.3,11.1,8.5,999,989.9,8.5,999,999,99
85,9,26,5,77,4.4,5.8,3.1,11.1,8,999,989.7,8.5,999,999,99
85,9,26,6,81,5.2,6.5,3.2,11.1,8.7,999,989.8,8.4,999,999,99
85,9,26,7,78,5.9,8.1,3,11.1,8.2,999,989.8,8.5,999,999,99
85,9,26,10,51,5.8,7,3.7,11.1,8.8,999,989.5,7.9,999,999,99
85,9,26,11,53,5.7,7.4,3.2,11.1,8.5,999,989.1,7.8,999,999,99
85,9,26,12,45,5.5,7,3,10,8,999,988.7,8,999,999,99
85,9,26,13,56,5.1,6.4,3.2,10,8.1,999,988.4,8.2,999,999,99
85,9,26,14,29,4.9,6.4,3,11.1,8.1,999,988,8.2,999,999,99
85,9,26,15,11,5.3,7.7,2.6,11.1,8,999,987.4,7.7,999,999,99
85,9,26,16,14,6,7.4,2.5,10,7.7,999,986.7,8.4,999,999,99
85,9,26,17,29,8.3,11.1,2.4,11.1,7.5,999,986.2,7.9,999,999,99
85,9,26,18,14,9.5,11.4,2.3,10,7,999,985.7,7,999,999,99
85,9,26,19,356,9.8,12.2,2.4,10,7.1,999,985.2,7.1,999,999,99
85,9,26,20,7,6.4,8.5,2.2,10,6.8,999,984.9,7.7,999,999,99
85,9,26,21,99,6.5,7.9,2.4,9.1,7,999,985,7.9,999,999,99
85,9,26,22,95,6.8,8.6,2.4,10,7.2,999,985.1,7.8,999,999,99
85,9,26,23,85,7.1,8.8,2.2,9.1,6.7,999,985,8,999,999,99
85,9,27,0,71,6.5,8.5,2.4,11.1,6.8,999,984.7,8.2,999,999,99
85,9,27,1,63,6.5,8.6,2.4,9.1,6.7,999,984.5,8.4,999,999,99
85,9,27,2,54,7.6,9.7,2.4,10,6.7,999,984.3,8.2,999,999,99
85,9,27,3,61,7,9.4,2.1,9.1,6.4,999,984.3,8.5,999,999,99
85,9,27,4,55,7.4,10,2.3,9.1,6.4,999,984.3,8.4,999,999,99
85,9,27,5,41,7.7,10.1,2.4,8.3,6.5,999,984.4,8.2,999,999,99
85,9,27,6,44,7.3,10.2,2.1,9.1,6.4,999,984.6,8.2,999,999,99
85,9,27,7,38,7.7,9.7,2.2,9.1,6.3,999,985,8.3,999,999,99
85,9,27,10,32,6.5,8.3,2.1,7.7,6.5,999,985.9,8.2,999,999,99
85,9,27,11,24,6.5,7.9,2,7.7,6.4,999,986,8,999,999,99
